"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
29412,"LELL","small_airport","Sabadell Airport",41.52090072631836,2.1050798892974854,485,"EU","ES","ES-CT","Sabadell","no","LELL","QSA",,,,
43234,"LELM","small_airport","Almansa Airport",38.89500045776367,-1.1131800413131714,2248,"EU","ES","ES-CM","Albacete","no","LELM",,,,,
4018,"LELN","medium_airport","Leon Airport",42.5890007019043,-5.65556001663208,3006,"EU","ES","ES-CL","León","no","LELN","LEN",,,"https://en.wikipedia.org/wiki/Le%C3%B3n_Airport",
30083,"LELO","small_airport","Logroño-Agoncillo Airport",42.4609534888,-2.32223510742,1161,"EU","ES","ES-LO","Logroño","yes","LERJ","RJL",,,"https://en.wikipedia.org/wiki/Logro%C3%B1o%E2%80%93Agoncillo_Airport","LELO"
43279,"LELT","small_airport","Lillo Airport",39.71689987182617,-3.3205599784851074,2272,"EU","ES","ES-CM","Lillo","no","LELT",,,,,
4019,"LEMD","large_airport","Adolfo Suárez Madrid–Barajas Airport",40.471926,-3.56264,1998,"EU","ES","ES-M","Madrid","yes","LEMD","MAD",,"http://www.aena.es/en/passengers/passengers.html","https://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez_Madrid%E2%80%93Barajas_Airport","Leganés, Madrid Barajas International Airport"
43283,"LEMF","small_airport","Mafé - Gibraleón Airport",37.3643,-6.92094,86,"EU","ES","ES-AN","Gibraleón","no","LEMF",,,,,
4020,"LEMG","large_airport","Málaga Airport",36.67490005493164,-4.499110221862793,53,"EU","ES","ES-AN","Málaga","yes","LEMG","AGP",,,"https://en.wikipedia.org/wiki/M%C3%A1laga_Airport","Costa del Sol"
4021,"LEMH","medium_airport","Menorca Airport",39.86259841918945,4.218649864196777,302,"EU","ES","ES-PM","Menorca Island","yes","LEMH","MAH",,,"https://en.wikipedia.org/wiki/Menorca_Airport",
43263,"LEMN","heliport","Heli Montsiá - Amposta Heliport",40.66640090942383,0.5647220015525818,254,"EU","ES","ES-CT","Tarragona","no","LEMN",,,,,
4022,"LEMO","medium_airport","Moron Air Base",37.17490005493164,-5.615940093994141,285,"EU","ES","ES-AN","Morón","no","LEMO","OZP",,,"https://en.wikipedia.org/wiki/Mor%C3%B3n_Air_Base",
43281,"LEMP","small_airport","Los Martínez Del Puerto Airport",37.8368166667,-1.09766666667,534,"EU","ES","ES-MU","Murcia","no","LEMP",,,,,
4023,"LEMR","small_airport","La Morgal Airport",43.4291992188,-5.8305602073700005,541,"EU","ES","ES-O","Oviedo","no","LEMR",,,"http://www.aeroclubllanera.com/","http://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_La_Morgal",
43284,"LEMS","small_airport","Manresa Airport",41.76530075073242,1.8616700172424316,897,"EU","ES","ES-CT","Manresa","no","LEMS",,,,,
43245,"LEMT","small_airport","Casarrubios Del Monte Airport",40.235001,-4.02639,2050,"EU","ES","ES-CM","Toledo","no","LEMT",,,,,
30168,"LEMU","small_airport","Muchamiel Airport",38.44060134887,-0.4752779901028,427,"EU","ES","ES-V","Muchamiel","no","LEMU",,,"http://www.aerodromodemutxamel.es/","https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Muchamiel",
34924,"LEMX","small_airport","La Mancha-Toledo Airport",39.56209945678711,-3.2507500648498535,2405,"EU","ES","ES-CM","Toledo","no","LEMX",,,,,
